record_id,merchant_id,feature_name,adoption_date,last_used_date,usage_count,is_active
FA00001,M0001,Payout Settings,2023-10-09,2025-02-09,19,0
FA00002,M0002,Payout Settings,2026-02-12,2026-02-13,27,1
FA00003,M0002,Invoicing,2025-06-05,2025-12-10,77,1
FA00004,M0002,Loyalty Program,2025-03-07,2025-09-18,35,0
FA00005,M0003,Analytics,2024-11-04,2025-05-02,55,0
FA00006,M0003,Online Store,2025-05-16,2025-06-04,106,1
FA00007,M0003,Payout Settings,2025-05-03,2025-07-29,114,1
FA00008,M0003,Invoicing,2024-03-21,2024-05-04,26,0
FA00009,M0003,Tax Reports,2024-01-02,2024-05-07,99,0
FA00010,M0004,Payout Settings,2025-01-30,2025-07-14,22,1
FA00011,M0004,Team Management,2025-01-16,2025-06-06,73,1
FA00012,M0004,Analytics,2024-09-24,2025-02-25,53,0
FA00013,M0004,Loyalty Program,2025-06-03,2025-08-07,49,1
FA00014,M0005,Online Store,2024-08-01,2024-11-24,62,0
FA00015,M0005,Loyalty Program,2024-11-25,2025-10-17,19,0
FA00016,M0005,Invoicing,2024-12-24,2024-12-30,93,0
FA00017,M0005,Analytics,2026-02-13,2026-02-15,34,1
FA00018,M0005,Inventory,2024-08-02,2025-10-06,94,0
FA00019,M0006,Team Management,2025-06-24,2025-07-03,5,1
FA00020,M0006,Payout Settings,2024-12-19,2025-01-22,4,0
FA00021,M0006,Inventory,2024-01-21,2024-08-28,11,0
FA00022,M0007,Payout Settings,2025-11-05,2025-12-29,103,1
FA00023,M0007,Online Store,2024-11-29,2025-10-22,138,0
FA00024,M0007,Team Management,2025-02-09,2025-07-01,22,0
FA00025,M0007,Tax Reports,2025-07-20,2025-08-09,131,0
FA00026,M0008,Team Management,2025-02-21,2025-12-18,17,1
FA00027,M0008,Online Store,2024-11-30,2025-11-22,112,1
FA00028,M0008,Tax Reports,2026-02-03,2026-02-03,15,1
FA00029,M0009,Analytics,2025-09-15,2025-10-14,117,0
FA00030,M0010,Invoicing,2025-12-05,2025-12-27,31,1
FA00031,M0010,Team Management,2023-11-19,2025-11-12,36,0
FA00032,M0010,Loyalty Program,2025-10-25,2025-10-26,42,0
FA00033,M0011,Loyalty Program,2025-04-30,2025-07-03,69,0
FA00034,M0011,Online Store,2025-11-01,2025-12-01,8,0
FA00035,M0011,Payout Settings,2025-04-11,2025-11-16,70,0
FA00036,M0011,Team Management,2025-07-17,2025-08-02,68,0
FA00037,M0011,Analytics,2025-10-21,2025-11-09,128,0
FA00038,M0012,Loyalty Program,2025-04-01,2025-05-23,147,0
FA00039,M0012,Invoicing,2025-11-02,2026-02-02,30,1
FA00040,M0012,Inventory,2025-03-18,2025-12-03,1,1
FA00041,M0012,Online Store,2024-12-14,2024-12-20,63,0
FA00042,M0012,Analytics,2024-12-15,2025-08-13,94,0
FA00043,M0012,Tax Reports,2025-06-06,2025-08-21,46,0
FA00044,M0012,Payout Settings,2026-02-04,2026-02-05,142,1
FA00045,M0013,Inventory,2024-02-17,2024-05-06,147,0
FA00046,M0013,Team Management,2024-05-31,2024-07-31,129,0
FA00047,M0013,Analytics,2025-04-04,2025-04-17,46,0
FA00048,M0013,Tax Reports,2023-12-30,2025-06-10,12,0
FA00049,M0013,Payout Settings,2024-06-29,2024-08-03,120,0
FA00050,M0014,Online Store,2024-12-13,2025-09-22,117,1
FA00051,M0014,Team Management,2024-11-03,2025-05-10,52,0
FA00052,M0015,Online Store,2025-11-30,2025-12-31,119,1
FA00053,M0015,Loyalty Program,2025-03-15,2026-01-11,127,1
FA00054,M0016,Inventory,2024-02-25,2025-09-01,89,1
FA00055,M0016,Analytics,2025-04-13,2025-04-15,86,0
FA00056,M0016,Invoicing,2023-07-03,2025-08-18,97,1
FA00057,M0016,Tax Reports,2025-07-26,2025-09-10,79,1
FA00058,M0016,Loyalty Program,2023-10-16,2024-05-13,136,0
FA00059,M0017,Payout Settings,2023-10-30,2023-12-13,60,0
FA00060,M0017,Inventory,2026-01-30,2026-02-01,106,1
FA00061,M0017,Invoicing,2025-07-13,2025-10-16,118,0
FA00062,M0017,Analytics,2025-08-30,2025-09-20,149,0
FA00063,M0017,Team Management,2023-11-01,2025-04-01,35,0
FA00064,M0018,Payout Settings,2024-10-25,2025-06-04,34,0
FA00065,M0018,Invoicing,2025-04-22,2025-09-18,67,0
FA00066,M0018,Online Store,2025-07-11,2026-03-05,101,1
FA00067,M0019,Loyalty Program,2025-04-15,2025-08-12,20,0
FA00068,M0019,Team Management,2025-02-03,2025-04-13,150,0
FA00069,M0019,Inventory,2024-10-30,2025-01-17,28,0
FA00070,M0020,Tax Reports,2025-06-02,2025-08-02,138,0
FA00071,M0020,Inventory,2025-05-08,2025-08-22,116,0
FA00072,M0020,Team Management,2025-04-12,2025-12-05,68,0
FA00073,M0021,Analytics,2026-02-01,2026-02-10,11,1
FA00074,M0021,Tax Reports,2024-10-07,2025-12-08,84,1
FA00075,M0022,Analytics,2025-08-22,2025-09-03,77,0
FA00076,M0022,Loyalty Program,2025-04-15,2025-07-13,8,0
FA00077,M0022,Tax Reports,2025-06-28,2026-02-14,143,1
FA00078,M0022,Team Management,2025-12-21,2026-03-01,64,1
FA00079,M0022,Inventory,2025-01-20,2025-09-13,27,0
FA00080,M0023,Analytics,2023-04-18,2023-08-22,57,0
FA00081,M0024,Inventory,2025-06-20,2025-12-27,22,1
FA00082,M0025,Analytics,2026-01-22,2026-03-04,114,1
FA00083,M0025,Invoicing,2025-12-05,2025-12-21,24,1
FA00084,M0025,Payout Settings,2026-01-23,2026-02-13,32,1
FA00085,M0025,Tax Reports,2024-11-07,2026-03-04,119,1
FA00086,M0026,Team Management,2025-11-21,2026-03-06,102,1
FA00087,M0027,Invoicing,2025-10-01,2026-01-18,45,1
FA00088,M0027,Inventory,2024-10-29,2025-02-15,48,0
FA00089,M0028,Online Store,2024-11-16,2025-07-29,106,0
FA00090,M0028,Inventory,2025-11-28,2025-12-05,23,0
FA00091,M0028,Analytics,2024-10-15,2025-11-11,36,0
FA00092,M0028,Invoicing,2025-07-28,2025-09-17,135,0
FA00093,M0028,Loyalty Program,2024-08-14,2026-02-21,5,1
FA00094,M0028,Team Management,2025-05-14,2025-11-13,123,0
FA00095,M0029,Tax Reports,2025-07-03,2025-09-23,100,0
FA00096,M0029,Team Management,2025-03-06,2025-06-06,7,0
