merchant_id,month,total_transactions,completed_transactions,failed_transactions,chargeback_count,total_revenue,conversion_rate_pct
M0001,2023-02,1,0,1,0,0.0,0.0
M0001,2023-03,1,1,0,0,1655.09,100.0
M0001,2023-04,1,1,0,0,2105.35,100.0
M0001,2023-07,1,1,0,0,1653.22,100.0
M0001,2023-08,1,1,0,0,2025.18,100.0
M0001,2023-09,1,1,0,0,148.21,100.0
M0001,2023-10,1,1,0,0,294.49,100.0
M0001,2023-11,1,1,0,0,2107.61,100.0
M0001,2023-12,1,1,0,0,1455.38,100.0
M0001,2024-01,2,2,0,0,1282.01,100.0
M0001,2024-02,1,1,0,0,646.47,100.0
M0001,2024-03,1,1,0,0,2442.97,100.0
M0001,2024-04,2,2,0,0,2549.2,100.0
M0001,2024-05,1,1,0,0,1892.71,100.0
M0001,2024-12,1,1,0,0,2148.05,100.0
M0001,2025-02,1,1,0,0,2339.69,100.0
M0001,2025-03,1,1,0,0,1916.0,100.0
M0001,2025-04,3,2,1,0,3603.18,66.67
M0001,2025-05,2,2,0,0,2748.31,100.0
M0001,2025-07,1,1,0,0,971.63,100.0
M0001,2025-08,1,1,0,0,1423.95,100.0
M0001,2025-09,2,2,0,0,3039.73,100.0
M0001,2025-10,1,0,1,0,0.0,0.0
M0001,2025-11,1,1,0,0,457.72,100.0
M0001,2025-12,1,1,0,0,1767.79,100.0
M0001,2026-01,1,1,0,0,2094.53,100.0
M0001,2026-02,1,0,0,0,0.0,0.0
M0001,2026-03,3,3,0,0,2101.03,100.0
M0002,2025-01,2,2,0,0,4126.98,100.0
M0002,2025-02,3,2,0,0,3336.6,66.67
M0002,2025-03,1,0,1,0,0.0,0.0
M0002,2025-04,1,1,0,0,2307.49,100.0
M0002,2025-05,1,0,0,0,0.0,0.0
M0002,2025-06,7,7,0,0,7335.59,100.0
M0002,2025-07,4,4,0,0,3905.52,100.0
M0002,2025-08,1,1,0,0,1887.36,100.0
M0002,2025-09,3,2,1,0,2429.75,66.67
M0002,2025-11,3,3,0,0,2735.02,100.0
M0002,2025-12,2,2,0,0,1955.37,100.0
M0002,2026-02,2,2,0,0,1063.31,100.0
M0003,2023-08,2,2,0,0,2113.78,100.0
M0003,2023-09,1,1,0,0,332.62,100.0
M0003,2023-11,2,2,0,0,2202.2,100.0
M0003,2023-12,1,1,0,0,2221.86,100.0
M0003,2024-01,1,1,0,0,823.77,100.0
M0003,2024-02,1,1,0,0,1116.96,100.0
M0003,2024-03,2,2,0,0,2263.87,100.0
M0003,2024-04,1,1,0,0,5.97,100.0
M0003,2024-05,1,1,0,0,574.73,100.0
M0003,2024-06,1,0,0,0,0.0,0.0
M0003,2024-07,3,3,0,0,2447.08,100.0
M0003,2024-08,1,1,0,0,2324.4,100.0
M0003,2024-10,2,2,0,0,2860.28,100.0
M0003,2024-11,3,1,2,0,218.27,33.33
M0003,2024-12,1,1,0,0,988.15,100.0
M0003,2025-01,1,1,0,0,1070.41,100.0
M0003,2025-02,2,2,0,0,759.26,100.0
M0003,2025-03,1,1,0,0,480.25,100.0
M0003,2025-04,1,1,0,0,2087.31,100.0
M0003,2025-05,2,1,0,0,135.27,50.0
M0003,2025-06,3,3,0,0,4034.76,100.0
M0003,2025-07,1,1,0,0,271.12,100.0
M0003,2025-08,1,1,0,0,327.84,100.0
M0004,2024-10,1,1,0,0,929.07,100.0
M0004,2024-11,5,5,0,0,4796.1,100.0
M0004,2024-12,5,4,0,0,5816.19,80.0
M0004,2025-01,4,2,1,1,3530.59,50.0
M0004,2025-02,1,1,0,0,2446.51,100.0
M0004,2025-03,5,3,0,0,4315.84,60.0
M0004,2025-04,6,5,0,1,8686.79,83.33
M0004,2025-05,4,4,0,0,6062.88,100.0
M0004,2025-06,1,1,0,0,1712.45,100.0
M0004,2025-07,5,5,0,0,6265.81,100.0
M0004,2025-08,1,1,0,0,2339.32,100.0
M0005,2023-07,1,1,0,0,831.15,100.0
M0005,2023-09,2,1,0,0,212.5,50.0
M0005,2023-10,1,1,0,0,1902.07,100.0
M0005,2023-12,3,2,0,1,2347.27,66.67
M0005,2024-03,2,2,0,0,3571.03,100.0
M0005,2024-06,1,1,0,0,874.48,100.0
M0005,2024-07,1,1,0,0,961.8,100.0
M0005,2024-08,1,0,0,1,0.0,0.0
M0005,2024-12,1,1,0,0,168.82,100.0
M0005,2025-01,3,2,1,0,4529.31,66.67
M0005,2025-02,3,3,0,0,2569.38,100.0
M0005,2025-03,3,3,0,0,5857.55,100.0
M0005,2025-04,1,1,0,0,2239.44,100.0
M0005,2025-06,3,3,0,0,3331.89,100.0
M0005,2025-07,2,2,0,0,2626.32,100.0
M0005,2025-08,1,0,1,0,0.0,0.0
M0005,2025-09,3,3,0,0,2566.44,100.0
M0005,2025-12,1,1,0,0,2040.31,100.0
M0005,2026-02,1,1,0,0,200.64,100.0
M0006,2023-05,1,0,1,0,0.0,0.0
M0006,2023-06,2,1,0,0,1062.48,50.0
M0006,2023-08,3,1,0,1,1106.3,33.33
M0006,2023-09,1,1,0,0,426.38,100.0
M0006,2023-10,1,1,0,0,1773.1,100.0
M0006,2023-12,1,1,0,0,1459.67,100.0
M0006,2024-01,1,1,0,0,2200.6,100.0
M0006,2024-02,2,2,0,0,791.38,100.0
M0006,2024-03,4,4,0,0,5326.86,100.0
M0006,2024-04,1,1,0,0,550.18,100.0
M0006,2024-05,5,3,1,0,2592.68,60.0
M0006,2024-06,2,1,0,1,1707.29,50.0
M0006,2024-08,1,0,1,0,0.0,0.0
M0006,2024-09,1,1,0,0,2286.85,100.0
M0006,2024-10,3,3,0,0,1948.21,100.0
M0006,2024-11,1,1,0,0,2191.57,100.0
M0006,2025-02,1,1,0,0,424.68,100.0
M0006,2025-03,1,0,0,0,0.0,0.0
M0006,2025-05,1,1,0,0,1940.65,100.0
M0006,2025-06,1,0,0,1,0.0,0.0
M0006,2025-07,2,2,0,0,2491.22,100.0
M0006,2025-08,1,1,0,0,745.18,100.0
M0006,2025-09,1,1,0,0,683.19,100.0
M0007,2024-09,2,2,0,0,503.83,100.0
M0007,2024-11,2,2,0,0,2548.97,100.0
M0007,2024-12,1,1,0,0,975.42,100.0
M0007,2025-01,1,1,0,0,2049.31,100.0
M0007,2025-02,1,1,0,0,932.56,100.0
M0007,2025-03,1,0,0,0,0.0,0.0
M0007,2025-04,8,6,0,1,5202.16,75.0
M0007,2025-05,2,2,0,0,3692.5,100.0
M0007,2025-06,1,1,0,0,673.0,100.0
M0007,2025-07,3,2,1,0,1881.43,66.67
M0007,2025-08,2,2,0,0,1995.43,100.0
M0007,2025-09,1,1,0,0,1217.46,100.0
M0007,2025-10,3,3,0,0,4164.57,100.0
M0007,2025-11,1,1,0,0,843.19,100.0
M0007,2025-12,4,4,0,0,3481.64,100.0
M0007,2026-02,2,2,0,0,3316.9,100.0
M0008,2024-01,1,1,0,0,967.65,100.0
M0008,2024-02,1,1,0,0,716.64,100.0
M0008,2024-03,1,0,1,0,0.0,0.0
M0008,2024-04,3,2,0,0,3421.02,66.67
M0008,2024-06,2,2,0,0,607.88,100.0
M0008,2024-07,2,1,0,0,551.46,50.0
M0008,2024-08,2,2,0,0,237.51,100.0
M0008,2024-12,1,1,0,0,922.44,100.0
M0008,2025-02,1,1,0,0,253.88,100.0
M0008,2025-03,1,1,0,0,772.98,100.0
M0008,2025-04,1,0,0,1,0.0,0.0
M0008,2025-05,2,2,0,0,1174.55,100.0
M0008,2025-06,4,2,1,1,2872.76,50.0
M0008,2025-07,3,3,0,0,2542.89,100.0
M0008,2025-08,2,2,0,0,2750.68,100.0
M0008,2025-09,1,1,0,0,1327.08,100.0
M0008,2025-10,2,2,0,0,2444.49,100.0
M0008,2025-12,1,1,0,0,2442.69,100.0
M0008,2026-02,1,1,0,0,915.82,100.0
M0009,2024-08,2,2,0,0,2787.18,100.0
M0009,2024-10,4,4,0,0,2906.82,100.0
M0009,2024-11,1,0,0,0,0.0,0.0
M0009,2024-12,1,0,1,0,0.0,0.0
M0009,2025-01,2,1,1,0,936.49,50.0
M0009,2025-03,1,1,0,0,193.0,100.0
M0009,2025-04,1,1,0,0,43.83,100.0
M0009,2025-05,1,1,0,0,2428.12,100.0
M0009,2025-06,1,1,0,0,514.51,100.0
M0009,2025-07,5,4,1,0,6376.06,80.0
M0009,2025-08,1,1,0,0,1402.39,100.0
M0009,2025-09,1,0,0,1,0.0,0.0
M0009,2025-11,1,1,0,0,1245.22,100.0
M0009,2025-12,1,1,0,0,1994.22,100.0
M0009,2026-02,3,3,0,0,4293.89,100.0
M0010,2023-11,1,1,0,0,647.05,100.0
M0010,2023-12,1,1,0,0,1156.38,100.0
M0010,2024-01,2,2,0,0,1289.07,100.0
M0010,2024-02,1,1,0,0,1262.2,100.0
M0010,2024-05,4,3,1,0,4791.76,75.0
M0010,2024-06,1,0,0,0,0.0,0.0
M0010,2024-07,2,2,0,0,3544.25,100.0
M0010,2024-08,1,0,0,0,0.0,0.0
M0010,2024-09,1,1,0,0,2088.7,100.0
