event_id,merchant_id,event_type,event_date,feature_name,session_duration_sec,platform
EVT000001,M0019,first_transaction,2025-05-30 00:00:00,,,Web
EVT000002,M0019,app_login,2025-12-21 00:00:00,,735,iOS
EVT000003,M0200,feature_used,2024-02-14 00:00:00,Analytics,,Android
EVT000004,M0129,dashboard_viewed,2024-11-03 00:00:00,,1732,iOS
EVT000005,M0133,first_transaction,2023-11-26 00:00:00,,,iOS
EVT000006,M0083,payout_requested,2024-01-12 00:00:00,,,Android
EVT000007,M0133,dashboard_viewed,2025-10-24 00:00:00,,191,Android
EVT000008,M0051,feature_used,2025-01-11 00:00:00,Team Management,,iOS
EVT000009,M0161,app_login,2024-12-02 00:00:00,,221,Web
EVT000010,M0165,first_transaction,2024-02-02 00:00:00,,,iOS
EVT000011,M0169,feature_used,2025-08-23 00:00:00,Online Store,,iOS
EVT000012,M0008,terminal_activated,2025-11-03 00:00:00,,,Web
EVT000013,M0068,support_ticket,2026-02-14 00:00:00,,,Web
EVT000014,M0107,feature_used,2024-06-25 00:00:00,Inventory,,Web
EVT000015,M0140,app_login,2024-12-01 00:00:00,,1019,iOS
EVT000016,M0176,app_login,2024-08-15 00:00:00,,179,Web
EVT000017,M0016,first_transaction,2024-08-29 00:00:00,,,Android
EVT000018,M0119,app_login,2024-12-24 00:00:00,,324,Android
EVT000019,M0184,app_login,2025-09-23 00:00:00,,737,Android
EVT000020,M0034,plan_upgraded,2025-05-22 00:00:00,,,Web
EVT000021,M0028,app_login,2025-11-01 00:00:00,,280,Android
EVT000022,M0116,app_login,2024-07-17 00:00:00,,133,Android
EVT000023,M0099,dashboard_viewed,2025-02-08 00:00:00,,538,iOS
EVT000024,M0084,payout_requested,2025-02-05 00:00:00,,,iOS
EVT000025,M0196,first_transaction,2025-04-19 00:00:00,,,Android
EVT000026,M0128,dashboard_viewed,2025-12-13 00:00:00,,77,iOS
EVT000027,M0101,feature_used,2023-11-05 00:00:00,Analytics,,Web
EVT000028,M0091,terminal_activated,2025-07-10 00:00:00,,,Android
EVT000029,M0153,dashboard_viewed,2025-08-11 00:00:00,,1407,Android
EVT000030,M0074,feature_used,2026-01-10 00:00:00,Invoicing,,Android
EVT000031,M0035,dashboard_viewed,2025-09-04 00:00:00,,779,Android
EVT000032,M0094,terminal_activated,2023-05-30 00:00:00,,,Web
EVT000033,M0144,first_transaction,2025-06-17 00:00:00,,,Android
EVT000034,M0019,app_login,2025-10-14 00:00:00,,1595,Web
EVT000035,M0072,dashboard_viewed,2023-10-04 00:00:00,,293,iOS
EVT000036,M0101,app_login,2024-02-14 00:00:00,,1172,Android
EVT000037,M0194,first_transaction,2025-07-11 00:00:00,,,Android
EVT000038,M0129,terminal_activated,2024-10-25 00:00:00,,,iOS
EVT000039,M0183,app_login,2025-03-09 00:00:00,,1093,Android
EVT000040,M0039,feature_used,2024-12-14 00:00:00,Analytics,,Android
EVT000041,M0157,app_login,2025-07-12 00:00:00,,1292,Web
EVT000042,M0077,feature_used,2025-04-29 00:00:00,Online Store,,Web
EVT000043,M0126,support_ticket,2025-06-05 00:00:00,,,Android
EVT000044,M0005,app_login,2025-05-21 00:00:00,,254,Android
EVT000045,M0150,app_login,2025-10-05 00:00:00,,1439,Web
