transaction_id	merchant_id	customer_id	year_month	transaction_date	original_currency	payment_method	status	amount_EUR	fee_EUR	net_amount_EUR
TXN000002	M0164	C00553	2025-07	2025-07-03 19:12:00	BGN	CARD	COMPLETED	196.45	3.44	193.02
TXN000003	M0154	C00852	2024-03	2024-03-31 15:01:00	GBP	CONTACTLESS	COMPLETED	244.29	4.27	240.01
TXN000004	M0015	C00071	2024-10	2024-10-18 18:05:00	BGN	CONTACTLESS	COMPLETED	110.66	1.94	108.72
TXN000005	M0033	C00622	2025-06	2025-06-28 15:35:00	GBP	CONTACTLESS	COMPLETED	362.29	6.34	355.95
TXN000006	M0139	C00383	2024-04	2024-04-28 22:19:00	GBP	QR CODE	COMPLETED	857.62	15.01	842.62
TXN000007	M0116	C00568	2024-08	2024-08-21 07:14:00	EUR	QR CODE	COMPLETED	162.4	2.84	159.56
TXN000008	M0057	C00928	2024-12	2024-12-07 02:45:00	EUR	APPLE PAY	COMPLETED	1578.68	27.63	1551.05
TXN000009	M0019	C00136	2025-11	2025-11-13 07:17:00	BGN	QR CODE	COMPLETED	855.54	14.97	840.57
TXN000010	M0148	C00097	2025-03	2025-03-23 07:50:00	EUR	GOOGLE PAY	COMPLETED	1183.75	20.72	1163.03
TXN000011	M0091	C00670	2025-12	2025-12-10 13:29:00	BGN	CARD	COMPLETED	1104.37	19.33	1085.05
TXN000012	M0016	C00197	2024-09	2024-09-21 23:21:00	EUR	QR CODE	COMPLETED	2001.98	35.03	1966.95
TXN000013	M0115	C00946	2024-04	2024-04-18 13:11:00	EUR	GOOGLE PAY	COMPLETED	698.17	12.22	685.95
TXN000015	M0043	C00061	2024-11	2024-11-18 15:30:00	EUR	GOOGLE PAY	COMPLETED	536.33	9.39	526.94
TXN000016	M0001	C00434	2025-04	2025-04-04 08:59:00	BGN	QR CODE	COMPLETED	1002.52	17.54	984.97
TXN000018	M0016	C00942	2025-09	2025-09-09 10:03:00	BGN	CONTACTLESS	COMPLETED	65.31	1.15	64.16
TXN000019	M0015	C00692	2025-07	2025-07-19 02:54:00	EUR	GOOGLE PAY	COMPLETED	466.6	8.17	458.43
TXN000020	M0031	C00674	2024-12	2024-12-01 18:38:00	BGN	QR CODE	COMPLETED	52.02	0.91	51.11
TXN000021	M0134	C00272	2025-05	2025-05-08 08:13:00	GBP	CONTACTLESS	COMPLETED	1454.19	25.44	1428.75
TXN000022	M0172	C00075	2025-03	2025-03-20 09:29:00	EUR	GOOGLE PAY	COMPLETED	792.15	13.86	778.29
TXN000023	M0160	C00136	2024-08	2024-08-01 03:04:00	GBP	CARD	COMPLETED	1174.53	20.55	1153.98
TXN000024	M0063	C00310	2025-01	2025-01-14 09:10:00	BGN	QR CODE	COMPLETED	560.83	9.82	551.01
TXN000025	M0003	C00900	2025-06	2025-06-25 17:19:00	EUR	APPLE PAY	COMPLETED	2329.56	40.77	2288.79
TXN000026	M0030	C00620	2026-02	2026-02-01 03:47:00	EUR	APPLE PAY	COMPLETED	1384.18	24.22	1359.96
TXN000028	M0071	C00269	2023-07	2023-07-28 00:21:00	EUR	GOOGLE PAY	COMPLETED	1928.37	33.75	1894.62
TXN000030	M0010	C00043	2026-02	2026-02-24 11:37:00	GBP	APPLE PAY	COMPLETED	1208.94	21.15	1187.78
TXN000031	M0011	C00799	2025-10	2025-10-13 06:43:00	BGN	GOOGLE PAY	COMPLETED	319.92	5.6	314.32
TXN000034	M0069	C00482	2024-07	2024-07-25 22:06:00	EUR	CONTACTLESS	COMPLETED	957.9	16.76	941.14
TXN000035	M0118	C00025	2024-10	2024-10-06 09:52:00	BGN	CONTACTLESS	COMPLETED	1016.91	17.8	999.12
TXN000036	M0103	C00360	2024-09	2024-09-12 08:55:00	BGN	QR CODE	COMPLETED	89.93	1.57	88.35
TXN000037	M0103	C00994	2025-09	2025-09-06 17:21:00	GBP	CONTACTLESS	COMPLETED	2060.11	36.05	2024.06
TXN000038	M0149	C00806	2024-07	2024-07-20 01:06:00	GBP	GOOGLE PAY	COMPLETED	1273.35	22.29	1251.06
TXN000039	M0156	C00046	2025-09	2025-09-22 03:24:00	BGN	GOOGLE PAY	COMPLETED	1149.92	20.12	1129.79
TXN000040	M0001	C00687	2025-12	2025-12-25 17:43:00	EUR	APPLE PAY	COMPLETED	1799.28	31.49	1767.79
TXN000041	M0111	C00869	2024-03	2024-03-02 21:58:00	EUR	APPLE PAY	COMPLETED	827.17	14.48	812.69
TXN000042	M0130	C00568	2025-03	2025-03-17 21:26:00	EUR	CONTACTLESS	COMPLETED	817.14	14.3	802.84
TXN000043	M0108	C00583	2025-04	2025-04-27 12:43:00	GBP	GOOGLE PAY	COMPLETED	1635.6	28.62	1606.98
TXN000044	M0141	C00622	2023-05	2023-05-26 09:18:00	BGN	APPLE PAY	COMPLETED	269.67	4.72	264.96
TXN000044	M0141	C00622	2023-05	2023-05-26 09:18:00	BGN	APPLE PAY	COMPLETED	269.67	4.72	264.96
TXN000045	M0120	C00923	2025-07	2025-07-22 14:43:00	BGN	CONTACTLESS	COMPLETED	274.17	4.8	269.37
TXN000046	M0169	C00096	2025-01	2025-01-02 09:32:00	EUR	APPLE PAY	COMPLETED	1660.47	29.06	1631.41
TXN000048	M0107	C00410	2026-01	2026-01-25 18:12:00	EUR	CONTACTLESS	COMPLETED	1796.57	31.44	1765.13
TXN000049	M0168	C00981	2023-11	2023-11-26 03:49:00	BGN	QR CODE	COMPLETED	544.18	9.53	534.65
TXN000050	M0119	C00137	2023-07	2023-07-09 17:15:00	GBP	QR CODE	COMPLETED	1961.73	34.33	1927.4
TXN000051	M0144	C00737	2025-07	2025-07-28 10:48:00	BGN	GOOGLE PAY	COMPLETED	1139.61	19.94	1119.67
TXN000052	M0141	C00770	2025-11	2025-11-24 05:47:00	EUR	APPLE PAY	COMPLETED	2154.08	37.7	2116.38
TXN000053	M0197	C00731	2025-09	2025-09-14 15:40:00	GBP	CONTACTLESS	COMPLETED	526.4	9.21	517.19
TXN000054	M0070	C00237	2024-12	2024-12-03 10:57:00	GBP	CONTACTLESS	COMPLETED	1185.16	20.74	1164.42
TXN000055	M0181	C00426	2024-03	2024-03-30 02:26:00	EUR	CONTACTLESS	COMPLETED	1020.48	17.86	1002.62
TXN000058	M0192	C00225	2025-12	2025-12-29 17:51:00	GBP	GOOGLE PAY	COMPLETED	1318.52	23.07	1295.44
TXN000059	M0125	C00742	2024-07	2024-07-31 12:21:00	EUR	GOOGLE PAY	COMPLETED	1673.01	29.28	1643.73
TXN000060	M0033	C00679	2025-05	2025-05-21 17:01:00	EUR	CARD	COMPLETED	2267.55	39.68	2227.87
TXN000061	M0165	C00389	2025-09	2025-09-06 04:55:00	GBP	CONTACTLESS	COMPLETED	1013.8	17.74	996.06
TXN000062	M0117	C00975	2024-06	2024-06-04 10:48:00	GBP	APPLE PAY	COMPLETED	1920.52	33.61	1886.91
TXN000064	M0200	C00157	2023-05	2023-05-14 00:15:00	EUR	CONTACTLESS	COMPLETED	500.4	8.76	491.64
TXN000064	M0200	C00157	2023-05	2023-05-14 00:15:00	EUR	CONTACTLESS	COMPLETED	500.4	8.76	491.64
TXN000065	M0122	C00378	2025-01	2025-01-07 18:13:00	EUR	QR CODE	COMPLETED	1163.92	20.37	1143.55
TXN000066	M0156	C00320	2024-08	2024-08-12 05:19:00	BGN	GOOGLE PAY	COMPLETED	139.32	2.44	136.88
TXN000067	M0102	C00105	2024-08	2024-08-14 02:37:00	BGN	APPLE PAY	COMPLETED	883.17	15.46	867.72
TXN000068	M0176	C00678	2023-11	2023-11-19 18:50:00	GBP	CARD	COMPLETED	90.95	1.59	89.36
TXN000070	M0163	C00989	2024-12	2024-12-10 22:09:00	BGN	APPLE PAY	COMPLETED	557.38	9.76	547.63
TXN000071	M0158	C00275	2025-10	2025-10-15 15:29:00	GBP	CONTACTLESS	COMPLETED	940.43	16.46	923.97
TXN000072	M0023	C00685	2024-11	2024-11-16 14:15:00	GBP	APPLE PAY	COMPLETED	1608.24	28.14	1580.1
TXN000073	M0008	C00265	2025-06	2025-06-12 10:11:00	GBP	APPLE PAY	COMPLETED	1065.44	18.64	1046.8
TXN000075	M0126	C00812	2025-04	2025-04-29 22:30:00	EUR	CARD	COMPLETED	1615.64	28.27	1587.37
TXN000076	M0076	C00378	2025-03	2025-03-03 12:44:00	GBP	QR CODE	COMPLETED	521.92	9.14	512.79
TXN000077	M0136	C00465	2025-09	2025-09-19 13:47:00	GBP	APPLE PAY	COMPLETED	1208.13	21.14	1186.99
TXN000078	M0065	C00549	2024-02	2024-02-07 03:46:00	BGN	CONTACTLESS	COMPLETED	247.2	4.33	242.88
TXN000079	M0050	C00779	2024-09	2024-09-18 23:30:00	BGN	QR CODE	COMPLETED	354.36	6.2	348.16
TXN000080	M0073	C00015	2024-07	2024-07-02 06:18:00	BGN	QR CODE	COMPLETED	291.77	5.11	286.66
TXN000081	M0033	C00130	2024-05	2024-05-29 01:03:00	BGN	GOOGLE PAY	COMPLETED	707.9	12.39	695.51
TXN000082	M0027	C00189	2023-11	2023-11-23 18:18:00	EUR	APPLE PAY	COMPLETED	1174.82	20.56	1154.26
TXN000083	M0123	C00703	2024-09	2024-09-13 02:25:00	EUR	CONTACTLESS	COMPLETED	1230.64	21.54	1209.1
TXN000084	M0039	C00572	2025-10	2025-10-14 18:19:00	GBP	QR CODE	COMPLETED	185.64	3.25	182.39
TXN000085	M0153	C00931	2025-12	2025-12-18 19:14:00	GBP	APPLE PAY	COMPLETED	1694.79	29.66	1665.13
TXN000086	M0151	C00758	2025-06	2025-06-11 09:36:00	EUR	CONTACTLESS	COMPLETED	1553.52	27.19	1526.33
TXN000087	M0161	C00566	2024-01	2024-01-04 08:42:00	EUR	CONTACTLESS	COMPLETED	205.27	3.59	201.68
TXN000088	M0001	C00238	2025-05	2025-05-11 14:44:00	GBP	APPLE PAY	COMPLETED	1289.6	22.57	1267.03
TXN000089	M0180	C00811	2025-11	2025-11-09 02:43:00	BGN	QR CODE	COMPLETED	299.36	5.24	294.12
